ID,desc,name,type,depertment,filePath
RQ-1,RQ-1's desc.,RQ-1's Name,Functional,Team B,201.248.87.55/requirement/RQ-1
RQ-2,RQ-2's desc.,RQ-2's Name,Functional,Team A,201.248.87.55/requirement/RQ-2
RQ-3,RQ-3's desc.,RQ-3's Name,Functional,Team B,201.248.87.55/requirement/RQ-3
RQ-4,RQ-4's desc.,RQ-4's Name,Functional,Team B,201.248.87.55/requirement/RQ-4
RQ-5,RQ-5's desc.,RQ-5's Name,Non-Functional,Team D,201.248.87.55/requirement/RQ-5
RQ-6,RQ-6's desc.,RQ-6's Name,Functional,Team A,201.248.87.55/requirement/RQ-6
RQ-7,RQ-7's desc.,RQ-7's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-7
RQ-8,RQ-8's desc.,RQ-8's Name,Functional,Team A,201.248.87.55/requirement/RQ-8
RQ-9,RQ-9's desc.,RQ-9's Name,Functional,Team F,201.248.87.55/requirement/RQ-9
RQ-10,RQ-10's desc.,RQ-10's Name,Functional,Team A,201.248.87.55/requirement/RQ-10
RQ-11,RQ-11's desc.,RQ-11's Name,Functional,Team A,201.248.87.55/requirement/RQ-11
RQ-12,RQ-12's desc.,RQ-12's Name,Functional,Team D,201.248.87.55/requirement/RQ-12
RQ-13,RQ-13's desc.,RQ-13's Name,Non-Functional,Team F,201.248.87.55/requirement/RQ-13
RQ-14,RQ-14's desc.,RQ-14's Name,Functional,Team A,201.248.87.55/requirement/RQ-14
RQ-15,RQ-15's desc.,RQ-15's Name,Non-Functional,Team D,201.248.87.55/requirement/RQ-15
RQ-16,RQ-16's desc.,RQ-16's Name,Functional,Team C,201.248.87.55/requirement/RQ-16
RQ-17,RQ-17's desc.,RQ-17's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-17
RQ-18,RQ-18's desc.,RQ-18's Name,Non-Functional,Team A,201.248.87.55/requirement/RQ-18
RQ-19,RQ-19's desc.,RQ-19's Name,Functional,Team E,201.248.87.55/requirement/RQ-19
RQ-20,RQ-20's desc.,RQ-20's Name,Functional,Team B,201.248.87.55/requirement/RQ-20
RQ-21,RQ-21's desc.,RQ-21's Name,Functional,Team F,201.248.87.55/requirement/RQ-21
RQ-22,RQ-22's desc.,RQ-22's Name,Functional,Team E,201.248.87.55/requirement/RQ-22
RQ-23,RQ-23's desc.,RQ-23's Name,Functional,Team E,201.248.87.55/requirement/RQ-23
RQ-24,RQ-24's desc.,RQ-24's Name,Functional,Team B,201.248.87.55/requirement/RQ-24
RQ-25,RQ-25's desc.,RQ-25's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-25
RQ-26,RQ-26's desc.,RQ-26's Name,Non-Functional,Team C,201.248.87.55/requirement/RQ-26
RQ-27,RQ-27's desc.,RQ-27's Name,Functional,Team B,201.248.87.55/requirement/RQ-27
RQ-28,RQ-28's desc.,RQ-28's Name,Non-Functional,Team D,201.248.87.55/requirement/RQ-28
RQ-29,RQ-29's desc.,RQ-29's Name,Functional,Team E,201.248.87.55/requirement/RQ-29
RQ-30,RQ-30's desc.,RQ-30's Name,Non-Functional,Team C,201.248.87.55/requirement/RQ-30
RQ-31,RQ-31's desc.,RQ-31's Name,Functional,Team E,201.248.87.55/requirement/RQ-31
RQ-32,RQ-32's desc.,RQ-32's Name,Non-Functional,Team C,201.248.87.55/requirement/RQ-32
RQ-33,RQ-33's desc.,RQ-33's Name,Functional,Team B,201.248.87.55/requirement/RQ-33
RQ-34,RQ-34's desc.,RQ-34's Name,Non-Functional,Team B,201.248.87.55/requirement/RQ-34
RQ-35,RQ-35's desc.,RQ-35's Name,Non-Functional,Team F,201.248.87.55/requirement/RQ-35
RQ-36,RQ-36's desc.,RQ-36's Name,Functional,Team E,201.248.87.55/requirement/RQ-36
RQ-37,RQ-37's desc.,RQ-37's Name,Functional,Team C,201.248.87.55/requirement/RQ-37
RQ-38,RQ-38's desc.,RQ-38's Name,Functional,Team D,201.248.87.55/requirement/RQ-38
RQ-39,RQ-39's desc.,RQ-39's Name,Functional,Team C,201.248.87.55/requirement/RQ-39
RQ-40,RQ-40's desc.,RQ-40's Name,Functional,Team E,201.248.87.55/requirement/RQ-40
RQ-41,RQ-41's desc.,RQ-41's Name,Functional,Team E,201.248.87.55/requirement/RQ-41
RQ-42,RQ-42's desc.,RQ-42's Name,Functional,Team A,201.248.87.55/requirement/RQ-42
RQ-43,RQ-43's desc.,RQ-43's Name,Functional,Team A,201.248.87.55/requirement/RQ-43
RQ-44,RQ-44's desc.,RQ-44's Name,Functional,Team F,201.248.87.55/requirement/RQ-44
RQ-45,RQ-45's desc.,RQ-45's Name,Functional,Team B,201.248.87.55/requirement/RQ-45
RQ-46,RQ-46's desc.,RQ-46's Name,Functional,Team B,201.248.87.55/requirement/RQ-46
RQ-47,RQ-47's desc.,RQ-47's Name,Functional,Team E,201.248.87.55/requirement/RQ-47
RQ-48,RQ-48's desc.,RQ-48's Name,Functional,Team F,201.248.87.55/requirement/RQ-48
RQ-49,RQ-49's desc.,RQ-49's Name,Functional,Team D,201.248.87.55/requirement/RQ-49
RQ-50,RQ-50's desc.,RQ-50's Name,Functional,Team A,201.248.87.55/requirement/RQ-50
RQ-51,RQ-51's desc.,RQ-51's Name,Functional,Team D,201.248.87.55/requirement/RQ-51
RQ-52,RQ-52's desc.,RQ-52's Name,Functional,Team E,201.248.87.55/requirement/RQ-52
RQ-53,RQ-53's desc.,RQ-53's Name,Functional,Team F,201.248.87.55/requirement/RQ-53
RQ-54,RQ-54's desc.,RQ-54's Name,Functional,Team C,201.248.87.55/requirement/RQ-54
RQ-55,RQ-55's desc.,RQ-55's Name,Non-Functional,Team B,201.248.87.55/requirement/RQ-55
RQ-56,RQ-56's desc.,RQ-56's Name,Functional,Team A,201.248.87.55/requirement/RQ-56
RQ-57,RQ-57's desc.,RQ-57's Name,Functional,Team C,201.248.87.55/requirement/RQ-57
RQ-58,RQ-58's desc.,RQ-58's Name,Non-Functional,Team C,201.248.87.55/requirement/RQ-58
RQ-59,RQ-59's desc.,RQ-59's Name,Functional,Team A,201.248.87.55/requirement/RQ-59
RQ-60,RQ-60's desc.,RQ-60's Name,Functional,Team D,201.248.87.55/requirement/RQ-60
RQ-61,RQ-61's desc.,RQ-61's Name,Functional,Team D,201.248.87.55/requirement/RQ-61
RQ-62,RQ-62's desc.,RQ-62's Name,Non-Functional,Team F,201.248.87.55/requirement/RQ-62
RQ-63,RQ-63's desc.,RQ-63's Name,Functional,Team A,201.248.87.55/requirement/RQ-63
RQ-64,RQ-64's desc.,RQ-64's Name,Non-Functional,Team F,201.248.87.55/requirement/RQ-64
